video_path,video_name,cross_efficient_vit_prob,ground_truth
dummy_vid_0.mp4,dummy_vid_0,0.169905969557347,0
dummy_vid_1.mp4,dummy_vid_1,0.8200992649534132,1
dummy_vid_2.mp4,dummy_vid_2,0.15698020849900188,0
dummy_vid_3.mp4,dummy_vid_3,0.11146864031382397,0
dummy_vid_4.mp4,dummy_vid_4,0.1613517345251248,0
dummy_vid_5.mp4,dummy_vid_5,0.8857112571511746,1
dummy_vid_6.mp4,dummy_vid_6,0.3086016816145352,0
dummy_vid_7.mp4,dummy_vid_7,0.02621845011731508,0
dummy_vid_8.mp4,dummy_vid_8,0.3633033374656267,0
dummy_vid_9.mp4,dummy_vid_9,0.7998242956415463,1
dummy_vid_10.mp4,dummy_vid_10,0.13482149049644165,0
dummy_vid_11.mp4,dummy_vid_11,0.20883172064845765,0
dummy_vid_12.mp4,dummy_vid_12,0.17809918677350325,0
dummy_vid_13.mp4,dummy_vid_13,0.08773004801794061,0
dummy_vid_14.mp4,dummy_vid_14,0.859707754934804,1
dummy_vid_15.mp4,dummy_vid_15,0.1006999065341167,0
dummy_vid_16.mp4,dummy_vid_16,0.7797946906122647,1
dummy_vid_17.mp4,dummy_vid_17,0.8172337853402232,1
dummy_vid_18.mp4,dummy_vid_18,0.8107891846867842,1
dummy_vid_19.mp4,dummy_vid_19,0.08070904047393457,0
dummy_vid_20.mp4,dummy_vid_20,0.8796120277064576,1
dummy_vid_21.mp4,dummy_vid_21,0.18072995208766093,0
dummy_vid_22.mp4,dummy_vid_22,0.850511345664246,1
dummy_vid_23.mp4,dummy_vid_23,0.8265412866624853,1
dummy_vid_24.mp4,dummy_vid_24,0.7084629257949585,1
dummy_vid_25.mp4,dummy_vid_25,0.807935467723464,1
dummy_vid_26.mp4,dummy_vid_26,0.815728548347323,1
dummy_vid_27.mp4,dummy_vid_27,0.769772273077838,1
dummy_vid_28.mp4,dummy_vid_28,0.833871428833399,1
dummy_vid_29.mp4,dummy_vid_29,0.8904050856814538,1
dummy_vid_30.mp4,dummy_vid_30,0.2777664895788425,0
dummy_vid_31.mp4,dummy_vid_31,0.090842861116417,0
dummy_vid_32.mp4,dummy_vid_32,0.8757550390722764,1
dummy_vid_33.mp4,dummy_vid_33,0.8425554084233833,1
dummy_vid_34.mp4,dummy_vid_34,0.6581228784700959,1
dummy_vid_35.mp4,dummy_vid_35,0.259877685198719,0
dummy_vid_36.mp4,dummy_vid_36,0.8560230209941027,1
dummy_vid_37.mp4,dummy_vid_37,0.23135096360006385,0
dummy_vid_38.mp4,dummy_vid_38,0.2805478807154329,0
dummy_vid_39.mp4,dummy_vid_39,0.1521003841632759,0
dummy_vid_40.mp4,dummy_vid_40,0.21819529712949637,0
dummy_vid_41.mp4,dummy_vid_41,0.11897332434065439,0
dummy_vid_42.mp4,dummy_vid_42,0.9642822814515021,1
dummy_vid_43.mp4,dummy_vid_43,0.9251933032686774,1
dummy_vid_44.mp4,dummy_vid_44,0.9291031947043047,1
dummy_vid_45.mp4,dummy_vid_45,0.7590612545205261,1
dummy_vid_46.mp4,dummy_vid_46,0.9902794310936099,1
dummy_vid_47.mp4,dummy_vid_47,0.359238727568546,0
dummy_vid_48.mp4,dummy_vid_48,0.908685709380027,1
dummy_vid_49.mp4,dummy_vid_49,1.0,1
dummy_vid_50.mp4,dummy_vid_50,0.2658110873500068,0
dummy_vid_51.mp4,dummy_vid_51,0.7933702270397228,1
dummy_vid_52.mp4,dummy_vid_52,0.21241198170521552,0
dummy_vid_53.mp4,dummy_vid_53,0.7996524345883801,1
dummy_vid_54.mp4,dummy_vid_54,0.14877532271530852,0
dummy_vid_55.mp4,dummy_vid_55,0.8568562974806027,1
dummy_vid_56.mp4,dummy_vid_56,0.7437696286273895,1
dummy_vid_57.mp4,dummy_vid_57,0.08228382884878882,0
dummy_vid_58.mp4,dummy_vid_58,0.2475119733417751,0
dummy_vid_59.mp4,dummy_vid_59,0.13529426184978613,0
dummy_vid_60.mp4,dummy_vid_60,0.06745028032074883,0
dummy_vid_61.mp4,dummy_vid_61,0.11786141583470064,0
dummy_vid_62.mp4,dummy_vid_62,0.19129314542756243,0
dummy_vid_63.mp4,dummy_vid_63,0.09362754471960252,0
